PEDOT-HTL (L1)>>thickness,PEDOT-HTL (L1)>>band gap,PEDOT-HTL (L1)>>electron affinity,N-CS2AgBiBr6 (L2)>>thickness,N-CS2AgBiBr6 (L2)>>band gap,N-CS2AgBiBr6 (L2)>>electron affinity,P-CsPb(I0.6Br0.4)3 (L3)>>thickness,P-CsPb(I0.6Br0.4)3 (L3)>>band gap,P-CsPb(I0.6Br0.4)3 (L3)>>electron affinity,Voc,Jsc,FF,eta,V_MPP,J_MPP,source_file
0.5942,1.474,3.797,0.5026,2.056,3.735,0.3545,2.049,3.934,1.26719,27.25798704,83.7308,28.9215,1.137829,25.4181483,part1_cleaned.csv
0.3961,1.516,3.699,0.5768,1.856,3.757,0.5526,1.674,3.942,1.346637,25.38677491,84.2832,28.8137,1.219659,23.62438834,part1_cleaned.csv
0.1928,1.423,3.4,0.3226,2.168,3.774,0.3416,1.643,3.869,1.586472,9.03088729,43.5827,6.2442,1.467213,4.25582509,part1_cleaned.csv
0.1494,1.759,3.739,0.9465,2.255,3.785,0.458,2.022,3.822,1.430782,14.86786014,76.6789,16.3117,1.296905,12.57736515,part1_cleaned.csv
0.2032,1.499,3.452,0.7996,2.298,3.811,0.4037,1.858,3.964,1.542404,14.2381417,50.9521,11.1896,0.974162,11.48636198,part1_cleaned.csv
0.319,1.745,3.411,0.4889,1.894,3.984,0.8988,1.909,3.782,1.612473,18.55212115,78.9199,23.6087,1.444933,16.33898003,part1_cleaned.csv
0.5776,1.531,3.565,0.3943,2.081,3.828,0.6705,1.783,3.99,1.453369,25.10253989,72.4755,26.4414,1.218874,21.69333281,part1_cleaned.csv
0.4948,1.213,3.434,0.957,1.868,3.734,0.6193,1.74,3.914,1.585557,35.92924254,66.128,37.6717,1.177371,31.99648276,part1_cleaned.csv
0.1803,1.339,3.714,0.3242,1.894,3.963,0.9631,2.054,3.979,1.360516,18.819361,56.2084,14.3916,1.221922,11.77784857,part1_cleaned.csv
0.2507,1.599,3.749,0.3886,2.272,3.853,0.2026,1.629,3.771,1.299077,6.00046474,66.8641,5.2121,1.168374,4.46098452,part1_cleaned.csv
0.5998,1.618,3.559,0.9385,1.957,3.949,0.2281,1.861,3.816,1.477953,22.84379113,83.1022,28.057,1.343249,20.88742277,part1_cleaned.csv
0.5488,1.388,3.49,0.806,2.163,3.666,0.9407,2.065,3.77,1.544152,30.18466173,83.1678,38.7642,1.397375,27.74075414,part1_cleaned.csv
0.4744,1.545,3.419,0.2524,2.012,3.885,0.2806,1.892,3.934,1.601591,24.2848235,77.9801,30.3298,1.407701,21.54565913,part1_cleaned.csv
0.5265,1.381,3.567,0.934,2.073,3.661,0.3318,1.721,3.734,1.456786,28.42167482,75.4528,31.2407,1.240867,25.17650894,part1_cleaned.csv
0.504,1.588,3.712,0.7398,1.811,3.86,0.9543,1.782,3.893,1.361704,23.69691882,83.0648,26.8035,1.229616,21.79827504,part1_cleaned.csv
0.3478,1.632,3.516,0.4913,1.898,3.768,0.8839,1.912,3.937,1.514547,21.0856184,83.8088,26.7645,1.386636,19.30172141,part1_cleaned.csv
0.07096,1.577,3.423,0.3775,2.036,3.768,0.9888,1.96,3.7,1.59445,17.26896441,79.7353,21.9547,1.44605,15.18254612,part1_cleaned.csv
0.1567,1.231,3.536,0.9407,2.231,3.65,0.6689,2.041,3.767,1.487453,26.33794153,76.4236,29.9401,1.284611,23.30672566,part1_cleaned.csv
0.2866,1.617,3.491,0.4295,2.24,3.697,1.133,2.056,3.819,1.533894,19.95855018,81.8001,25.0425,1.399792,17.89016879,part1_cleaned.csv
0.2134,1.257,3.736,0.5016,1.929,3.839,0.7077,1.808,3.744,1.300626,29.27750999,84.3967,32.1375,1.171421,27.43463399,part1_cleaned.csv
0.4053,1.507,3.68,0.8172,2.047,3.73,0.448,1.941,3.632,1.360151,24.72128616,84.3837,28.3738,1.233479,23.00302965,part1_cleaned.csv
0.5605,1.322,3.642,0.8773,1.844,3.899,0.596,1.678,3.846,1.392219,32.72302412,80.5069,36.677,1.233981,29.72249822,part1_cleaned.csv
0.1199,1.698,3.645,0.9721,2.027,3.763,0.5625,1.871,3.713,1.435664,17.73826234,82.548,21.0218,1.31151,16.02872529,part1_cleaned.csv
0.1795,1.766,3.59,0.897,2.37,3.74,0.3701,1.862,3.656,1.42991,3.08251366,47.1293,2.0773,1.190306,1.74520315,part1_cleaned.csv
0.4839,1.594,3.718,0.2184,2.157,3.829,1.146,1.994,3.702,1.358214,22.60597015,82.1761,25.2311,1.228013,20.54630279,part1_cleaned.csv
